############################## Ce: 5e-6 ########################
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 1000 eV-----grid 1-------#
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.962 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.777 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.976 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 70.007 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.842 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.889 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.953 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.899 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 70.048 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.985 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.922 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.838 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.756 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.848 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.942 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.032 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.767 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.848 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.789 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 69.856 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.761 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 69.798 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 69.94 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 69.916 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 69.881 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 32 running 69.91 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 70.017 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 34 running 69.914 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 69.936 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - #------------Processing 29 files------------#

2026-03-26 10:17 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 5000 eV------grid 1------#
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 70.077 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 70.01 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.973 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 70.079 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.92 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.941 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.911 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 70.07 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.964 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.878 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.945 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.918 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.954 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.934 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.857 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 69.956 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.905 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.979 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 69.964 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 70.096 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 69.939 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 70.056 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 70.024 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 70.075 ps.
