2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.895 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.851 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.834 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.979 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 69.887 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 70.048 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 69.932 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 69.837 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 69.981 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 69.973 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.816 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 69.929 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 32 running 69.887 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 69.876 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 34 running 69.813 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 69.854 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - #------------Processing 34 files------------#

2026-03-26 09:52 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 5000 eV-----ecut 1eV-------#
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.996 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.985 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 70.057 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.889 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.998 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.818 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 70.039 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.855 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 70.089 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.937 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.973 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 70.032 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 70.017 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.873 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.82 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.047 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 70.034 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 70.046 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.975 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 70.086 ps.
