2025-07-08 21:57 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 100 eV, supercell size: 7 --------------------
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 133372 with Velocities: -543.12, -113.16, -1010.19 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 126172 with Velocities: -371.32, -167.67, -1078.09 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 141042 with Velocities: -682.89, -368.80, -852.01 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 133846 with Velocities: -618.72, -358.63, -903.79 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 141045 with Velocities: -669.73, -345.60, -871.95 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 126412 with Velocities: -331.78, -294.74, -1063.63 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 133606 with Velocities: -630.62, -226.50, -937.70 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 133370 with Velocities: -528.93, -65.86, -1021.84 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 126653 with Velocities: -402.49, -370.41, -1014.43 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 126651 with Velocities: -351.73, -430.15, -1009.72 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 140804 with Velocities: -656.24, -252.49, -913.16 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 126656 with Velocities: -426.31, -419.64, -985.10 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 141047 with Velocities: -707.56, -399.69, -817.24 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 133606 with Velocities: -632.87, -225.37, -936.46 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 126177 with Velocities: -345.88, -36.88, -1098.76 ang/ps
2025-07-08 23:04 - ml4cascades.lammps - INFO - PKA ID: 133850 with Velocities: -542.94, -323.94, -963.61 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 134083 with Velocities: -444.27, -584.49, -888.41 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 126172 with Velocities: -356.43, -146.19, -1086.21 ang/ps
